Name,Label,Canton_name
Yverdon-les-Bains,20,Lausanne
Yvonand,20,Lausanne
Yvorne,7,Brig-Glis
Zeglingen,6,Solothurn
Zeihen,21,Aarau
Zeiningen,2,Reinach (BL)
Zell (LU),5,Bern
Zell (ZH),9,Winterthur
Zeneggen,7,Brig-Glis
Zermatt,7,Brig-Glis
Zernez,11,Chur
Zetzwil,21,Aarau
Ziefen,6,Solothurn
Zielebach,6,Solothurn
Zihlschlacht-Sitterdorf,19,Schaffhausen
Zillis-Reischen,11,Chur
Zizers,11,Chur
Zofingen,21,Aarau
Zollikofen,5,Bern
Zollikon,4,Zürich
Zuchwil,6,Solothurn
Zufikon,21,Aarau
Zug,9,Winterthur
Zullwil,6,Solothurn
Zumholz,17,Fribourg
Zumikon,4,Zürich
Zunzgen,2,Reinach (BL)
Zuoz,11,Chur
Zuzgen,2,Reinach (BL)
Zuzwil (BE),5,Bern
Zuzwil (SG),9,Winterthur
Zweisimmen,17,Fribourg
Zwieselberg,5,Bern
Zwingen,6,Solothurn
Zwischbergen,7,Brig-Glis
Zäziwil,5,Bern
Zürich,4,Zürich
