Name,Label,Canton_name
Grancy,20,Gland
Grandcour,16,Luzern
Grandevent,5,Genève
Grandfontaine,4,Chur
Grandson,5,Genève
Grandval,4,Chur
Grandvillard,7,Köniz
Granges (Veveyse),6,Montreux
Granges-Paccot,7,Köniz
Grangettes,7,Köniz
Gravesano,18,Lugano
Greifensee,11,Zürich
Grellingen,4,Chur
Grenchen,25,Basel
Greng,5,Genève
Grengiols,12,Brig-Glis
Grens,5,Genève
Greppen,16,Luzern
Gresso,18,Lugano
Gretzenbach,0,Kriens
Grimisuat,2,Sion
Grindel,4,Chur
Grindelwald,12,Brig-Glis
Grolley,16,Luzern
Grono,21,Bellinzona
Grossaffoltern,17,Bern
Grossdietwil,0,Kriens
Grosshöchstetten,7,Köniz
Grosswangen,0,Kriens
Grub (AR),14,Winterthur
Gruyères,7,Köniz
Gryon,2,Sion
Grächen,12,Brig-Glis
Gränichen,23,Aarau
Grône,2,Sion
Grüningen,14,Winterthur
Grüsch,4,Chur
Gsteig,2,Sion
Gsteigwiler,12,Brig-Glis
Gudo,18,Lugano
Guggisberg,7,Köniz
Gunzgen,0,Kriens
Gurbrü,1,Biel/Bienne
Gurmels,5,Genève
Gurtnellen,4,Chur
Gurzelen,7,Köniz
Guttannen,12,Brig-Glis
Guttet-Feschel,12,Brig-Glis
Gy,5,Genève
Gächlingen,14,Winterthur
Gänsbrunnen,4,Chur
Göschenen,4,Chur
Gündlischwand,12,Brig-Glis
Günsberg,25,Basel
Güttingen,14,Winterthur
Habkern,12,Brig-Glis
Habsburg,19,Baden
Hagenbuch,14,Winterthur
Hagneck,1,Biel/Bienne
Haldenstein,4,Chur
Hallau,14,Winterthur
Hallwil,23,Aarau
Halten,25,Basel
Hasle (LU),0,Kriens
Hasle bei Burgdorf,17,Bern
Hasliberg,19,Baden
Hauenstein-Ifenthal,3,Muttenz
Hauptwil-Gottshaus,14,Winterthur
Hausen (AG),19,Baden
Hausen am Albis,11,Zürich
Haut-Intyamon,7,Köniz
Haut-Vully,5,Genève
Haute-Ajoie,4,Chur
Haute-Sorne,4,Chur
Hauterive (FR),16,Luzern
Hauterive (NE),22,La Chaux-de-Fonds
Hauteville,7,Köniz
Hedingen,11,Zürich
Hefenhofen,23,Aarau
Heiden,14,Winterthur
Heiligenschwendi,7,Köniz
Heimberg,7,Köniz
Heimenhausen,25,Basel
Heimiswil,17,Bern
Heitenried,7,Köniz
Hellikon,3,Muttenz
Hellsau,25,Basel
Hemberg,14,Winterthur
Hemishofen,14,Winterthur
Hemmiken,3,Muttenz
Hendschiken,23,Aarau
Henggart,11,Zürich
Henniez,24,Lausanne
Herbetswil,25,Basel
Herbligen,7,Köniz
Herdern,14,Winterthur
Hergiswil (NW),0,Kriens
Hergiswil bei Willisau,0,Kriens
Herisau,14,Winterthur
Hermance,5,Genève
Hermenches,24,Lausanne
Hermiswil,25,Basel
Hermrigen,1,Biel/Bienne
Herrliberg,11,Zürich
Hersberg,3,Muttenz
Herznach,3,Muttenz
Herzogenbuchsee,25,Basel
Hettlingen,11,Zürich
Hildisrieden,0,Kriens
Hilterfingen,7,Köniz
Himmelried,4,Chur
Hindelbank,17,Bern
Hinterrhein,18,Lugano
Hinwil,14,Winterthur
Hirschthal,0,Kriens
Hirzel,11,Zürich
Hittnau,14,Winterthur
Hitzkirch,23,Aarau
Hochdorf,0,Kriens
Hochfelden,11,Zürich
Hochwald,4,Chur
Hofstetten (ZH),14,Winterthur
Hofstetten bei Brienz,12,Brig-Glis
Hofstetten-Flüh,25,Basel
Hohenrain,16,Luzern
Hohentannen,14,Winterthur
Holderbank (AG),19,Baden
Holderbank (SO),0,Kriens
Holziken,0,Kriens
Homberg,7,Köniz
Hombrechtikon,14,Winterthur
Homburg,14,Winterthur
Honau,16,Luzern
Horgen,11,Zürich
Horn,14,Winterthur
Hornussen,19,Baden
Horrenbach-Buchen,7,Köniz
Horriwil,25,Basel
Horw,0,Kriens
Hospental,4,Chur
Hubersdorf,25,Basel
Humlikon,11,Zürich
Hundwil,14,Winterthur
Hunzenschwil,23,Aarau
Huttwil,0,Kriens
Häfelfingen,3,Muttenz
Hägendorf,0,Kriens
Häggenschwil,14,Winterthur
Hägglingen,23,Aarau
Härkingen,0,Kriens
Häutligen,7,Köniz
Hérémence,2,Sion
Höchstetten,25,Basel
Hölstein,3,Muttenz
Höri,11,Zürich
Hünenberg,16,Luzern
Hüniken,25,Basel
Hüntwangen,11,Zürich
Hütten,14,Winterthur
Hüttikon,23,Aarau
Hüttlingen,14,Winterthur
Hüttwilen,14,Winterthur
Icogne,12,Brig-Glis
Iffwil,17,Bern
Ilanz/Glion,4,Chur
Illgau,16,Luzern
Illnau-Effretikon,14,Winterthur
Inden,12,Brig-Glis
Ingenbohl,16,Luzern
Inkwil,25,Basel
Innerthal,14,Winterthur
Innertkirchen,12,Brig-Glis
Ins,1,Biel/Bienne
Interlaken,12,Brig-Glis
Inwil,16,Luzern
Ipsach,1,Biel/Bienne
Iragna,18,Lugano
Iseltwald,12,Brig-Glis
Isenthal,4,Chur
Islisberg,11,Zürich
Isone,18,Lugano
Isorno,18,Lugano
Isérables,2,Sion
Itingen,3,Muttenz
Ittigen,17,Bern
Jaberg,7,Köniz
Jaun,7,Köniz
Jegenstorf,17,Bern
Jenaz,4,Chur
Jenins,4,Chur
Jens,1,Biel/Bienne
Jeuss,5,Genève
Jonen,23,Aarau
Jongny,6,Montreux
Jonschwil,14,Winterthur
Jorat-Menthue,24,Lausanne
Jouxtens-Mézery,24,Lausanne
Juriens,20,Gland
Jussy,5,Genève
Kaiseraugst,3,Muttenz
Kaiserstuhl,20,Gland
Kaisten,19,Baden
Kallern,23,Aarau
Kallnach,1,Biel/Bienne
Kaltbrunn,14,Winterthur
Kammersrohr,25,Basel
Kandergrund,12,Brig-Glis
Kandersteg,12,Brig-Glis
Kappel (SO),3,Muttenz
Kappel am Albis,11,Zürich
Kappelen,1,Biel/Bienne
Kaufdorf,7,Köniz
Kehrsatz,7,Köniz
Kemmental,14,Winterthur
Kernenried,17,Bern
Kerns,19,Baden
Kerzers,1,Biel/Bienne
Kesswil,23,Aarau
Kestenholz,25,Basel
Kienberg,3,Muttenz
Kiesen,7,Köniz
Kilchberg (BL),3,Muttenz
Kilchberg (ZH),11,Zürich
Killwangen,23,Aarau
Kippel,12,Brig-Glis
Kirchberg (BE),25,Basel
Kirchberg (SG),14,Winterthur
Kirchdorf (BE),7,Köniz
Kirchenthurnen,7,Köniz
Kirchleerau,0,Kriens
Kirchlindach,17,Bern
Kleinandelfingen,11,Zürich
Kleinbösingen,7,Köniz
Kleinlützel,4,Chur
Klingnau,19,Baden
Klosters-Serneus,10,Davos
Kloten,11,Zürich
Knonau,11,Zürich
Knutwil,0,Kriens
Koblenz,19,Baden
Konolfingen,7,Köniz
Koppigen,25,Basel
Kradolf-Schönenberg,14,Winterthur
Krattigen,7,Köniz
Krauchthal,17,Bern
Kreuzlingen,14,Winterthur
Kriechenwil,7,Köniz
Kriegstetten,25,Basel
Kriens,0,Kriens
Kyburg,14,Winterthur
Känerkinden,3,Muttenz
Kölliken,0,Kriens
Köniz,7,Köniz
Küblis,10,Davos
Künten,23,Aarau
Küsnacht (ZH),11,Zürich
Küssnacht (SZ),16,Luzern
Küttigen,19,Baden
L'Abbaye,20,Gland
L'Abergement,20,Gland
L'Isle,20,Gland
La Baroche,4,Chur
La Brillaz,16,Luzern
La Brévine,22,La Chaux-de-Fonds
