commune,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.,Übrige/Autres
Nendaz,0.0,0.94,40.0,0.0,20.84,0.0,0.0,17.67,14.11,0.0,6.06,0.0,0.0,0.0,0.0,0.37
Nenzlingen,3.46,0.0,16.28,1.53,10.17,0.81,0.0,10.68,43.44,0.0,12.72,0.0,0.0,0.0,0.0,0.92
Nesslau,2.89,0.0,13.73,2.74,15.45,3.78,0.0,9.1,44.61,0.9,4.78,0.0,0.0,0.2,0.0,1.82
Neuchâtel,0.92,0.0,3.76,0.0,22.81,5.53,10.11,29.32,13.56,0.0,12.05,0.0,0.0,0.0,0.0,1.95
Neuendorf,2.43,0.0,32.47,1.29,14.13,3.29,0.0,9.19,34.25,0.62,1.94,0.0,0.0,0.0,0.0,0.4
Neuenegg,15.17,0.0,2.06,2.74,7.71,4.71,0.13,16.47,41.22,3.07,4.58,0.0,0.0,0.5,0.0,1.63
Neuenhof,5.99,0.0,17.11,2.29,9.44,4.72,0.0,16.5,37.17,0.68,3.93,0.0,0.0,0.0,0.0,2.17
Neuenkirch,2.05,0.0,25.52,0.71,22.19,5.54,0.0,9.9,29.07,0.0,4.63,0.0,0.0,0.02,0.0,0.37
Neuhausen am Rheinfall,0.0,0.0,0.0,0.0,11.92,0.0,0.0,32.4,44.4,3.6,3.42,0.0,0.0,0.0,0.0,4.25
Neuheim,0.0,0.0,28.72,0.0,19.55,2.73,0.0,10.6,33.78,0.0,4.21,0.0,0.0,0.0,0.0,0.4
Neunforn,6.42,0.0,6.26,1.58,9.46,6.9,0.0,11.66,53.59,0.59,3.31,0.0,0.0,0.0,0.0,0.24
Neunkirch,0.0,0.0,0.0,0.0,15.47,0.0,0.0,29.17,43.87,5.58,2.71,0.0,0.0,0.0,0.0,3.2
Neyruz (FR),0.51,2.37,23.69,0.5,13.97,3.32,0.0,28.94,20.85,0.11,5.75,0.0,0.0,0.0,0.0,0.0
Nidau,7.3,0.0,1.37,4.08,14.75,6.32,0.71,27.79,23.97,0.75,11.15,0.0,0.0,0.35,0.0,1.46
Niederbipp,9.59,0.0,1.89,2.17,13.32,4.52,0.39,15.07,46.11,1.47,3.03,0.0,0.0,0.26,0.0,2.17
Niederbuchsiten,1.17,0.0,27.57,0.13,19.77,1.34,0.0,8.65,39.04,0.27,1.03,0.0,0.0,0.0,0.0,1.03
Niederbüren,2.33,0.0,22.45,1.43,13.11,2.3,0.0,4.68,45.75,3.06,2.45,0.0,0.0,0.36,0.0,2.07
Niederdorf,3.36,0.0,6.96,1.99,13.94,1.49,0.0,19.62,38.85,1.28,11.71,0.0,0.0,0.0,0.0,0.8
