commune,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.,Übrige/Autres
Egliswil,6.5,0.0,4.39,7.39,12.29,3.92,0.0,14.12,43.97,0.98,4.62,0.0,0.0,0.0,0.0,1.82
Egnach,4.95,0.0,10.47,3.2,13.75,5.56,0.0,9.95,44.22,3.1,4.54,0.0,0.0,0.0,0.0,0.28
Egolzwil,1.16,0.0,36.85,0.85,22.63,4.26,0.0,4.97,24.94,0.0,3.61,0.0,0.0,0.1,0.0,0.63
Ehrendingen,6.21,0.0,13.96,2.98,13.56,5.29,0.0,12.46,37.44,1.12,5.54,0.0,0.0,0.0,0.0,1.44
Eich,1.64,0.0,25.16,0.59,23.14,5.31,0.0,5.93,32.97,0.0,5.06,0.0,0.0,0.03,0.0,0.17
Eichberg,4.36,0.0,13.71,0.94,11.6,4.79,0.0,5.76,51.13,1.44,4.33,0.0,0.0,0.14,0.0,1.8
Eiken,8.65,0.0,9.78,1.95,10.34,4.14,0.0,15.49,41.74,0.4,4.8,0.0,0.0,0.0,0.0,2.71
Einsiedeln,0.0,0.0,25.28,0.0,18.04,3.19,0.0,13.59,38.71,0.0,1.19,0.0,0.0,0.0,0.0,0.0
Eischoll,0.0,0.0,65.72,0.0,1.19,0.0,0.0,2.01,30.89,0.0,0.18,0.0,0.0,0.0,0.0,0.0
Eisten,0.0,0.0,51.79,0.0,0.92,0.0,0.0,3.89,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elfingen,10.42,0.0,6.7,3.1,6.64,5.21,0.0,19.29,33.25,0.74,11.29,0.0,0.0,0.0,0.0,3.35
Elgg,4.82,0.0,3.11,4.42,11.34,11.62,0.09,17.37,37.77,2.95,4.43,0.0,0.0,0.03,0.0,2.05
Ellikon an der Thur,21.62,0.0,2.26,4.2,7.2,5.45,0.07,7.1,40.87,5.17,3.26,0.0,0.0,0.6,0.0,2.2
Elsau,4.32,0.0,2.59,4.7,11.68,10.01,0.18,16.99,38.21,3.08,5.25,0.0,0.0,0.18,0.0,2.81
Embd,0.0,0.0,53.18,0.0,1.14,0.0,0.0,6.53,38.01,0.0,1.14,0.0,0.0,0.0,0.0,0.0
Embrach,4.41,0.0,5.14,2.87,11.8,5.99,0.13,16.35,40.92,5.32,3.71,0.0,0.0,0.27,0.0,3.09
Emmen,1.78,0.0,16.41,0.88,16.38,4.83,0.0,15.46,36.36,0.0,7.19,0.0,0.0,0.18,0.0,0.53
Emmetten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.91,0.0,0.0,0.0,0.0,0.0,0.0,16.09
Endingen,3.44,0.0,15.34,2.27,15.32,3.09,0.0,18.23,36.29,0.67,4.28,0.0,0.0,0.0,0.0,1.07
Engelberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.48,0.0,0.0,0.0,0.0,0.0,0.0,53.52
Enges,0.46,0.0,2.52,0.0,33.18,9.15,3.89,18.54,19.91,0.0,10.3,0.0,0.0,0.0,0.0,2.06
Ennetbaden,2.79,0.0,9.3,2.08,20.26,9.04,0.0,26.76,16.38,0.52,11.63,0.0,0.0,0.0,0.0,1.23
Ennetbürgen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.47,0.0,0.0,0.0,0.0,0.0,0.0,14.53
Ennetmoos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.35,0.0,0.0,0.0,0.0,0.0,0.0,15.65
Entlebuch,0.86,0.0,31.32,0.46,24.76,1.92,0.0,3.12,35.52,0.0,1.75,0.0,0.0,0.04,0.0,0.24
Epalinges,0.94,0.0,4.67,1.35,30.25,3.53,0.0,25.23,17.02,0.26,12.6,0.0,0.0,0.38,2.04,1.73
Ependes (FR),0.23,2.24,25.3,0.89,13.66,2.17,0.0,27.62,22.79,0.12,4.99,0.0,0.0,0.0,0.0,0.0
Ependes (VD),2.91,0.0,0.39,0.78,23.1,3.3,0.0,20.36,36.63,0.34,8.17,0.0,0.0,1.01,2.85,0.17
Eppenberg-Wöschnau,5.86,0.0,4.49,0.0,26.37,2.73,0.0,14.45,39.06,0.78,5.47,0.0,0.0,0.0,0.0,0.78
Epsach,9.45,0.0,2.84,1.62,1.06,4.55,0.03,19.05,55.11,3.1,2.3,0.0,0.0,0.74,0.0,0.15
Eptingen,2.48,0.0,3.5,1.68,14.45,1.82,0.0,13.94,47.52,0.88,13.14,0.0,0.0,0.0,0.0,0.58
Ergisch,0.0,0.09,59.58,0.0,2.37,0.0,0.0,2.81,33.92,0.0,1.23,0.0,0.0,0.0,0.0,0.0
Eriswil,13.42,0.0,0.9,4.86,4.02,4.62,0.25,11.75,47.36,7.05,3.86,0.0,0.0,0.6,0.0,1.3
Eriz,8.74,0.0,0.52,2.38,1.28,0.92,0.12,6.4,75.8,1.18,1.44,0.0,0.0,0.08,0.0,1.14
Erlach,15.34,0.0,0.74,1.2,10.52,6.73,1.43,21.08,28.47,0.3,12.02,0.0,0.0,0.67,0.0,1.5
Erlen,3.94,0.0,9.88,2.04,11.59,4.78,0.0,9.86,47.11,6.32,4.35,0.0,0.0,0.0,0.0,0.13
Erlenbach (ZH),1.77,0.0,4.29,0.99,35.58,7.48,0.04,12.94,28.62,0.47,5.31,0.0,0.0,0.1,0.0,2.41
Erlenbach im Simmental,12.42,0.0,0.44,1.78,3.16,2.84,0.64,8.52,57.81,5.55,4.89,0.0,0.0,0.41,0.0,1.54
Erlinsbach (AG),4.1,0.0,7.1,2.77,20.74,5.53,0.0,15.39,36.76,0.97,5.32,0.0,0.0,0.0,0.0,1.32
Erlinsbach (SO),2.83,0.0,15.87,2.01,15.08,4.68,0.0,20.36,32.59,0.95,4.96,0.0,0.0,0.0,0.0,0.65
Ermatingen,4.62,0.0,12.24,1.42,18.43,8.88,0.0,12.75,34.02,0.95,6.43,0.0,0.0,0.0,0.0,0.26
Ermensee,0.9,0.0,30.3,0.51,23.15,5.15,0.0,5.57,29.9,0.0,4.14,0.0,0.0,0.0,0.0,0.39
Ernen,0.0,0.0,52.9,0.0,3.36,0.0,0.0,9.22,25.71,0.0,8.81,0.0,0.0,0.0,0.0,0.0
Erschwil,3.31,0.0,28.21,0.09,22.54,1.41,0.0,9.02,32.24,0.09,2.22,0.0,0.0,0.0,0.0,0.86
Ersigen,14.28,0.0,1.39,3.72,7.24,5.41,0.29,11.9,46.51,3.32,3.79,0.0,0.0,0.36,0.0,1.77
Erstfeld,0.0,0.0,25.45,0.0,0.0,0.0,0.0,0.0,41.47,0.0,30.69,0.0,0.0,0.0,0.0,2.4
Eschenbach (LU),1.65,0.0,32.59,0.66,20.31,4.66,0.0,7.39,28.68,0.0,3.15,0.0,0.0,0.12,0.0,0.78
Eschenbach (SG),4.57,0.0,18.83,1.12,10.23,3.82,0.0,7.51,46.02,0.98,5.17,0.0,0.0,0.25,0.0,1.51
Eschenz,3.1,0.0,19.4,1.4,8.01,6.64,0.0,10.58,43.02,1.52,5.99,0.0,0.0,0.0,0.0,0.34
Eschert,10.53,0.0,0.67,6.48,9.35,4.63,0.0,21.01,37.6,2.23,5.52,0.0,0.0,0.08,0.0,1.89
Eschlikon,2.66,0.0,13.72,1.64,17.34,7.39,0.0,9.12,37.36,3.71,6.99,0.0,0.0,0.0,0.0,0.08
Escholzmatt-Marbach,1.36,0.0,40.33,0.33,13.86,1.45,0.0,3.45,36.78,0.0,1.87,0.0,0.0,0.08,0.0,0.48
Essert-Pittet,3.11,0.0,0.49,10.51,23.44,5.25,0.0,12.35,34.34,1.75,4.86,0.0,0.0,0.1,3.7,0.1
Essertes,4.15,0.0,5.4,1.09,25.6,1.3,0.0,16.2,33.23,0.1,8.57,0.0,0.0,0.21,2.6,1.56
Essertines-sur-Rolle,3.3,0.0,6.42,2.31,34.28,2.8,0.0,15.14,22.5,0.93,9.01,0.0,0.0,0.06,0.87,2.37
Essertines-sur-Yverdon,3.34,0.0,2.46,1.84,24.16,3.78,0.0,13.81,30.89,2.0,11.87,0.0,0.0,0.45,1.79,3.61
Estavayer-le-Lac,1.79,1.26,29.1,0.42,13.8,2.29,0.0,23.34,22.27,0.68,5.07,0.0,0.0,0.0,0.0,0.0
Etagnières,2.14,0.0,9.42,1.19,24.73,4.67,0.0,17.93,26.69,0.3,10.31,0.0,0.0,0.1,1.15,1.39
Etoy,1.76,0.0,4.61,1.51,30.26,5.29,0.0,24.04,16.99,0.72,10.82,0.0,0.0,0.11,1.05,2.84
Ettingen,3.68,0.0,11.15,1.71,15.78,2.31,0.0,22.11,32.28,0.08,10.24,0.0,0.0,0.0,0.0,0.67
Ettiswil,0.92,0.0,32.42,0.55,26.66,3.18,0.0,6.1,27.69,0.0,2.17,0.0,0.0,0.04,0.0,0.28
Etziken,5.37,0.0,24.64,0.23,17.61,2.23,0.0,14.58,30.07,0.11,3.26,0.0,0.0,0.0,0.0,1.89
Evilard,8.19,0.0,1.92,2.73,19.2,7.17,0.32,23.09,19.74,2.72,12.93,0.0,0.0,0.07,0.0,1.92
Evionnaz,0.0,2.93,28.73,0.0,19.6,0.0,0.0,20.65,23.26,0.0,4.07,0.0,0.0,0.0,0.0,0.75
Evolène,0.0,0.79,45.65,0.0,24.59,0.0,0.0,8.1,17.86,0.0,2.67,0.0,0.0,0.0,0.0,0.34
Eysins,3.31,0.0,7.38,2.85,22.85,5.43,0.0,15.24,25.01,0.02,11.3,0.0,0.0,0.07,1.49,5.06
Fahrni,13.96,0.0,0.85,2.96,4.67,3.86,0.0,10.27,52.6,4.06,5.66,0.0,0.0,0.1,0.0,1.01
Fahrwangen,5.79,0.0,6.76,5.04,12.4,4.63,0.0,13.18,45.07,0.8,4.16,0.0,0.0,0.0,0.0,2.17
Fahy,0.0,2.47,35.69,0.0,19.79,0.0,0.0,17.67,16.61,0.0,6.01,0.0,0.0,0.0,0.0,1.77
Faido,0.0,0.0,33.26,0.0,21.47,0.59,0.11,15.1,9.45,0.0,2.13,15.31,0.0,0.0,0.0,2.6
Falera,4.7,0.0,46.28,0.0,8.63,4.35,0.0,6.73,29.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faoug,3.52,0.0,8.53,0.15,16.99,5.82,0.0,19.28,23.69,5.41,10.55,0.0,0.0,0.48,2.11,3.45
Farnern,11.44,0.0,1.59,0.11,6.91,3.57,0.62,12.57,52.66,2.77,3.45,0.0,0.0,0.0,0.0,4.3
Farvagny,0.2,4.85,22.75,0.74,19.2,1.68,0.0,22.5,22.89,0.71,4.48,0.0,0.0,0.0,0.0,0.0
Fehraltorf,5.34,0.0,2.87,3.46,15.18,8.56,0.07,15.44,39.0,2.29,5.62,0.0,0.0,0.06,0.0,2.1
Fehren,2.28,0.0,15.68,0.69,19.82,3.8,0.0,10.15,44.06,0.14,2.14,0.0,0.0,0.0,0.0,1.24
Felben-Wellhausen,4.92,0.0,9.55,3.54,10.15,5.38,0.0,13.89,44.7,2.97,4.73,0.0,0.0,0.0,0.0,0.19
Feldbrunnen-St. Niklaus,3.11,0.0,10.46,1.21,44.05,3.15,0.0,11.77,22.19,0.29,3.31,0.0,0.0,0.0,0.0,0.46
Felsberg,23.95,0.0,9.68,0.0,10.08,9.24,0.0,17.92,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.22
Ferden,0.0,0.0,75.34,0.0,0.89,0.0,0.0,3.8,18.26,0.0,1.71,0.0,0.0,0.0,0.0,0.0
Ferenbalm,12.8,0.0,0.84,2.85,6.24,3.43,0.45,11.13,49.46,3.41,6.6,0.0,0.0,0.47,0.0,2.32
Ferlens (VD),0.44,0.0,4.34,0.0,22.66,4.14,0.0,20.66,29.39,0.0,13.4,0.0,0.0,0.19,2.24,2.53
Ferpicloz,1.41,0.31,19.22,2.34,24.53,1.56,0.0,16.41,30.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0
Ferrera,22.0,0.0,4.0,0.0,0.67,2.0,0.0,10.0,61.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferreyres,2.9,0.0,0.64,1.93,12.67,3.71,0.0,27.01,21.48,0.97,18.69,0.0,0.0,0.0,5.37,4.62
Feuerthalen,5.09,0.0,3.7,2.39,10.62,6.12,0.04,23.27,36.59,2.33,5.71,0.0,0.0,0.03,0.0,4.1
Feusisberg,0.0,0.0,13.72,0.0,27.42,3.45,0.0,9.37,44.96,0.0,1.09,0.0,0.0,0.0,0.0,0.0
Fey,2.65,0.0,1.71,0.09,26.04,4.61,0.0,20.4,26.36,1.99,10.5,0.0,0.0,0.0,2.09,3.55
Fideris,16.8,0.0,2.94,0.0,18.12,14.17,0.0,15.49,32.39,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Fiesch,0.0,0.0,55.03,0.0,4.31,0.0,0.0,9.42,27.87,0.0,3.33,0.0,0.0,0.0,0.0,0.03
Fieschertal,0.0,0.0,42.06,0.0,1.78,0.0,0.0,6.16,46.6,0.0,2.76,0.0,0.0,0.0,0.0,0.65
Fiez,0.76,0.0,2.84,2.2,25.74,9.48,0.0,19.05,25.7,0.42,11.9,0.0,0.0,0.0,0.42,1.48
Filisur,16.24,0.0,7.08,0.0,24.42,12.94,0.0,17.83,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.85
Finhaut,0.0,3.01,44.92,0.0,15.21,0.0,0.0,17.24,11.85,0.0,7.16,0.0,0.0,0.0,0.0,0.62
Finsterhennen,24.94,0.0,0.74,5.22,2.84,4.94,0.62,12.78,36.46,5.69,3.07,0.0,0.0,1.33,0.0,1.36
Fischbach,2.04,0.0,30.6,0.14,14.2,1.02,0.0,2.28,46.87,0.0,2.32,0.0,0.0,0.18,0.0,0.35
Fischbach-Göslikon,6.07,0.0,9.87,2.6,11.67,3.64,0.0,8.63,50.7,0.36,3.07,0.0,0.0,0.0,0.0,3.38
Fischenthal,3.98,0.0,1.31,2.83,5.55,3.56,0.04,12.51,55.91,5.35,5.13,0.0,0.0,0.04,0.0,3.79
Fischingen,2.37,0.0,24.51,0.79,9.2,3.48,0.0,5.54,46.23,2.32,5.53,0.0,0.0,0.0,0.0,0.03
Fisibach,4.32,0.0,16.65,2.09,5.02,1.24,0.0,11.08,52.19,0.0,6.61,0.0,0.0,0.0,0.0,0.8
Fislisbach,6.58,0.0,11.78,3.7,15.47,7.18,0.0,13.68,35.62,0.62,4.12,0.0,0.0,0.0,0.0,1.24
Flaach,5.4,0.0,1.22,6.09,11.0,3.79,0.02,11.06,50.95,5.53,3.23,0.0,0.0,0.1,0.0,1.61
Flawil,4.23,0.0,15.05,1.63,15.33,4.08,0.0,15.49,33.1,0.97,7.7,0.0,0.0,0.2,0.0,2.22
Flerden,33.33,0.0,14.57,0.0,17.88,3.75,0.0,9.27,20.97,0.0,0.0,0.0,0.0,0.0,0.0,0.22
Flims,12.86,0.0,11.87,0.0,20.32,7.8,0.0,18.13,28.98,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Flumenthal,2.43,0.0,11.39,0.66,21.41,3.39,0.0,20.34,35.12,0.2,4.0,0.0,0.0,0.0,0.0,1.06
Flums,4.09,0.0,16.15,0.7,11.62,4.0,0.0,10.43,47.79,0.91,2.26,0.0,0.0,0.2,0.0,1.85
Flurlingen,5.08,0.0,4.22,1.9,16.93,9.03,0.03,21.96,28.05,1.55,6.46,0.0,0.0,0.14,0.0,4.64
Fläsch,10.81,0.0,3.77,0.0,18.65,13.5,0.0,13.5,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07
Flüelen,0.0,0.0,15.81,0.0,0.0,0.0,0.0,0.0,49.44,0.0,29.36,0.0,0.0,0.0,0.0,5.4
Flühli,0.51,0.0,36.25,0.04,20.96,0.99,0.0,2.3,37.65,0.0,1.26,0.0,0.0,0.0,0.0,0.05
Fontaines-sur-Grandson,0.75,0.0,2.14,0.0,20.13,0.43,0.0,12.31,55.57,0.0,6.1,0.0,0.0,0.0,0.0,2.57
Fontenais,0.0,1.93,24.17,0.0,9.92,0.0,1.86,50.07,8.13,0.0,3.72,0.0,0.0,0.0,0.0,0.21
Forel (Lavaux),0.81,0.0,2.81,0.62,34.98,2.79,0.0,15.2,26.91,0.06,10.0,0.0,0.0,0.03,0.98,4.81
Forel-sur-Lucens,11.92,0.0,1.32,2.12,31.68,4.24,0.0,9.22,24.07,1.32,8.78,0.0,0.0,0.0,3.58,1.76
Forst-Längenbühl,8.86,0.0,0.88,4.51,3.01,4.68,0.05,8.36,54.59,7.06,4.34,0.0,0.0,0.99,0.0,2.68
Founex,1.36,0.0,6.63,0.12,38.42,5.99,0.0,11.79,24.58,0.05,8.01,0.0,0.0,0.01,0.74,2.32
Frasco,0.0,0.0,21.34,0.0,3.05,0.61,0.0,13.72,15.24,0.0,2.13,34.15,0.0,0.0,0.0,9.76
Fraubrunnen,20.0,0.0,1.66,4.62,6.3,6.05,0.21,14.76,35.6,2.18,6.63,0.0,0.0,0.36,0.0,1.65
Frauenfeld,2.9,0.0,11.32,3.3,16.17,7.83,0.0,19.44,30.08,2.61,6.16,0.0,0.0,0.0,0.0,0.18
Frauenkappelen,17.6,0.0,3.21,3.09,9.31,5.81,0.11,13.89,34.83,2.87,8.11,0.0,0.0,0.39,0.0,0.8
Freienbach,0.0,0.0,14.49,0.0,23.57,3.64,0.0,13.81,43.14,0.0,1.34,0.0,0.0,0.0,0.0,0.0
Freienstein-Teufen,6.16,0.0,3.11,8.75,9.1,6.86,0.07,15.98,37.63,3.6,5.81,0.0,0.0,0.13,0.0,2.81
Freienwil,5.18,0.0,9.15,4.16,14.14,7.34,0.0,16.67,30.43,1.13,9.23,0.0,0.0,0.0,0.0,2.56
Freimettigen,13.03,0.0,2.24,12.29,5.82,7.31,0.02,5.02,38.99,8.86,4.72,0.0,0.0,0.73,0.0,0.95
Frenkendorf,1.73,0.0,4.4,1.52,16.84,2.7,0.0,29.87,30.6,0.17,11.61,0.0,0.0,0.0,0.0,0.57
Fresens,0.0,0.0,8.31,0.0,15.34,1.6,6.71,16.61,31.31,0.0,17.89,0.0,0.0,0.0,0.0,2.24
Fribourg,0.72,3.58,22.51,0.57,8.75,3.67,0.0,36.27,13.79,0.33,9.81,0.0,0.0,0.0,0.0,0.0
Frick,5.59,0.0,12.31,3.15,14.31,5.74,0.0,12.92,37.59,0.67,5.13,0.0,0.0,0.0,0.0,2.59
Froideville,2.86,0.0,3.6,0.26,23.56,3.58,0.0,18.39,35.42,0.35,8.32,0.0,0.0,0.02,1.85,1.78
Frutigen,7.15,0.0,0.71,11.09,5.69,8.92,0.1,6.85,43.01,11.94,2.62,0.0,0.0,0.35,0.0,1.58
Fräschels,5.97,1.04,6.81,1.62,16.34,10.96,0.0,12.58,39.17,1.88,3.63,0.0,0.0,0.0,0.0,0.0
Fulenbach,3.27,0.0,23.23,1.22,15.96,1.76,0.0,18.43,31.41,1.7,1.79,0.0,0.0,0.0,0.0,1.22
Full-Reuenthal,6.93,0.0,8.07,2.95,13.22,1.98,0.0,9.65,49.17,2.02,4.81,0.0,0.0,0.0,0.0,1.2
Fully,0.0,2.24,29.77,0.0,29.21,0.0,0.0,11.66,20.01,0.0,6.67,0.0,0.0,0.0,0.0,0.44
Furna,20.26,0.0,4.1,0.0,10.51,2.31,0.0,12.05,50.51,0.0,0.0,0.0,0.0,0.0,0.0,0.26
Fällanden,4.18,0.0,4.39,1.96,18.78,9.82,0.24,20.76,30.11,1.67,5.34,0.0,0.0,0.23,0.0,2.52
Féchy,1.94,0.0,3.05,0.88,42.37,4.16,0.0,11.64,24.79,0.09,8.13,0.0,0.0,0.09,0.42,2.45
Fétigny,3.57,0.1,22.22,0.0,13.44,1.24,0.0,16.32,38.39,0.0,4.71,0.0,0.0,0.0,0.0,0.0
Füllinsdorf,2.74,0.0,5.11,2.43,21.17,2.04,0.0,21.45,32.99,0.53,10.94,0.0,0.0,0.0,0.0,0.61
Fürstenau,18.06,0.0,5.71,0.0,19.14,8.49,0.0,19.6,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.62
Gachnang,4.51,0.0,11.39,2.34,11.29,8.9,0.0,11.97,42.41,2.06,5.02,0.0,0.0,0.0,0.0,0.11
Gais,0.0,0.0,0.0,0.0,33.27,0.0,0.0,27.36,37.73,0.0,0.0,0.0,0.0,0.0,0.0,1.64
Gaiserwald,5.12,0.0,18.26,2.22,17.81,4.8,0.0,12.03,32.72,0.54,4.56,0.0,0.0,0.31,0.0,1.63
Galgenen,0.0,0.0,12.79,0.0,17.8,2.87,0.0,13.73,51.79,0.0,1.03,0.0,0.0,0.0,0.0,0.0
Galmiz,5.02,0.7,7.4,2.51,15.21,4.95,0.0,16.68,44.87,0.7,1.95,0.0,0.0,0.0,0.0,0.0
Gals,16.53,0.0,0.39,6.65,7.52,5.6,0.17,17.75,35.06,2.72,6.82,0.0,0.0,0.07,0.0,0.72
Gambarogno,0.0,0.0,19.72,0.0,25.66,1.29,0.52,15.45,13.7,0.0,3.51,17.39,0.0,0.0,0.0,2.76
Gampel-Bratsch,0.0,0.15,61.08,0.0,2.13,0.0,0.0,5.62,29.66,0.0,1.32,0.0,0.0,0.0,0.0,0.03
Gampelen,13.84,0.0,2.93,4.07,8.55,4.74,0.47,13.07,42.75,2.25,3.84,0.0,0.0,0.68,0.0,2.81
Gams,3.04,0.0,26.24,2.75,11.31,5.31,0.0,7.14,37.44,0.76,4.26,0.0,0.0,0.29,0.0,1.47
Gansingen,3.83,0.0,30.31,1.2,6.88,3.61,0.0,7.68,42.62,0.03,3.03,0.0,0.0,0.0,0.0,0.83
Gebenstorf,4.82,0.0,9.07,3.44,16.09,5.57,0.0,17.71,35.22,0.62,5.74,0.0,0.0,0.0,0.0,1.72
Gelterfingen,17.03,0.0,0.32,0.75,1.18,2.85,0.0,14.72,55.35,2.21,2.42,0.0,0.0,0.93,0.0,2.25
Gelterkinden,1.95,0.0,3.71,3.08,13.73,1.96,0.0,25.97,29.23,0.12,19.73,0.0,0.0,0.0,0.0,0.51
Geltwil,2.52,0.0,12.95,1.48,28.67,3.3,0.0,10.25,35.45,0.09,5.13,0.0,0.0,0.0,0.0,0.17
Gempen,3.15,0.0,5.11,0.38,17.11,5.0,0.0,22.92,32.81,0.0,13.15,0.0,0.0,0.0,0.0,0.38
Gempenach,2.41,0.0,4.33,3.01,11.43,2.17,0.0,13.96,58.0,0.84,3.85,0.0,0.0,0.0,0.0,0.0
Genolier,1.88,0.0,5.76,1.76,42.68,4.77,0.0,12.69,16.89,0.99,8.05,0.0,0.0,0.01,1.54,2.98
Genthod,0.7,0.0,11.43,0.65,31.64,3.89,0.0,13.9,18.5,0.0,11.18,0.0,5.11,0.0,2.49,0.5
Genève,0.77,0.0,10.69,0.45,17.56,2.12,0.0,23.76,16.32,0.19,11.41,0.0,7.61,0.0,8.79,0.35
Gerlafingen,2.75,0.0,8.17,1.38,16.22,3.54,0.0,33.01,29.56,0.73,3.5,0.0,0.0,0.0,0.0,1.13
Geroldswil,4.12,0.0,5.94,1.43,18.3,6.14,0.1,12.08,45.25,0.8,2.74,0.0,0.0,0.21,0.0,2.9
Gersau,0.0,0.0,26.31,0.0,26.37,1.26,0.0,10.51,33.48,0.0,2.08,0.0,0.0,0.0,0.0,0.0
Gerzensee,13.78,0.0,1.5,2.16,5.86,6.73,0.03,12.51,45.02,4.35,4.96,0.0,0.0,0.45,0.0,2.64
Gettnau,0.32,0.0,39.1,0.03,20.99,1.27,0.0,3.07,33.91,0.0,0.98,0.0,0.0,0.05,0.0,0.29
Geuensee,1.34,0.0,22.5,0.64,17.25,8.42,0.0,11.7,29.72,0.0,7.74,0.0,0.0,0.1,0.0,0.59
Giebenach,2.9,0.0,4.67,1.4,16.77,0.64,0.0,14.99,49.6,0.86,7.68,0.0,0.0,0.0,0.0,0.48
Giez,3.31,0.0,0.92,0.12,29.45,2.59,0.0,17.36,28.21,2.04,11.61,0.0,0.0,0.0,1.56,2.83
Giffers,1.04,2.3,20.51,0.06,8.46,3.25,0.0,17.62,43.65,0.39,2.72,0.0,0.0,0.0,0.0,0.0
Gilly,2.66,0.0,5.7,1.1,20.76,2.68,0.0,15.44,39.68,0.05,8.45,0.0,0.0,0.02,1.84,1.62
Gimel,2.26,0.0,4.13,1.86,37.23,3.89,0.0,12.67,26.46,0.33,7.22,0.0,0.0,0.1,0.53,3.31
Gingins,2.71,0.0,5.36,0.28,33.62,7.22,0.0,14.2,24.83,1.73,6.33,0.0,0.0,0.02,1.39,2.31
Giornico,0.0,0.0,31.94,0.0,19.13,0.13,0.3,13.11,9.86,0.0,1.58,21.78,0.0,0.0,0.0,2.18
Gipf-Oberfrick,5.47,0.0,11.32,2.04,12.46,6.64,0.0,18.64,30.51,1.94,8.13,0.0,0.0,0.0,0.0,2.86
Gisikon,1.2,0.0,17.07,1.06,19.39,4.59,0.0,8.46,44.83,0.0,2.91,0.0,0.0,0.08,0.0,0.41
Giswil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.97,0.0,0.0,0.0,0.0,0.0,0.0,63.03
Giubiasco,0.0,0.0,16.95,0.0,29.25,0.51,0.32,20.33,10.07,0.0,3.51,17.03,0.0,0.0,0.0,2.02
Givisiez,1.45,2.18,22.68,0.32,13.36,3.23,0.0,27.62,21.84,0.55,6.76,0.0,0.0,0.0,0.0,0.0
Givrins,2.74,0.0,3.16,1.35,33.23,5.3,0.0,13.39,24.04,0.02,11.84,0.0,0.0,0.02,1.65,3.26
Gland,2.16,0.0,8.08,2.14,25.78,4.77,0.0,18.32,24.24,0.69,8.66,0.0,0.0,0.13,1.79,3.25
Glarus,49.7,0.0,0.0,0.0,0.0,0.0,0.0,47.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55
Glarus Nord,57.45,0.0,0.0,0.0,0.0,0.0,0.0,38.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11
Glarus Süd,45.24,0.0,0.0,0.0,0.0,0.0,0.0,51.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75
Glattfelden,4.4,0.0,2.0,3.97,7.74,9.66,0.03,16.53,45.12,3.21,5.01,0.0,0.0,0.24,0.0,2.07
Gletterens,1.91,0.45,17.4,1.65,11.43,2.16,0.0,22.02,37.96,1.25,3.76,0.0,0.0,0.0,0.0,0.0
Gnosca,0.0,0.0,29.43,0.0,24.55,0.71,0.97,19.19,5.29,0.0,2.57,15.09,0.0,0.0,0.0,2.2
Golaten,16.07,0.0,0.34,2.9,7.88,2.9,1.09,1.28,55.5,3.21,5.26,0.0,0.0,1.59,0.0,1.99
Goldach,3.69,0.0,17.52,1.52,15.48,3.61,0.0,16.12,35.15,0.67,4.08,0.0,0.0,0.33,0.0,1.83
Gollion,1.89,0.0,5.35,2.76,22.05,3.01,0.0,17.6,34.09,0.52,8.43,0.0,0.0,0.0,2.46,1.84
Gommiswald,2.76,0.0,16.55,0.71,11.56,3.46,0.0,10.42,46.83,1.47,3.88,0.0,0.0,0.42,0.0,1.94
Gondiswil,16.61,0.0,0.47,3.22,5.28,3.28,0.06,6.32,55.66,4.42,3.08,0.0,0.0,0.43,0.0,1.17
Gonten,0.0,0.0,83.62,0.0,0.0,0.0,0.0,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93
Gontenschwil,4.74,0.0,2.03,6.05,19.27,2.06,0.0,7.62,46.66,5.26,4.17,0.0,0.0,0.0,0.0,2.14
Gordola,0.0,0.0,30.03,0.0,18.16,0.7,0.54,16.7,10.42,0.0,2.31,18.78,0.0,0.0,0.0,2.37
Gorduno,0.0,0.0,30.47,0.0,32.42,0.17,0.45,13.03,5.42,0.0,2.27,12.47,0.0,0.0,0.0,3.28
